Parent,Child,age_ch,t,species
357,146,0,1.5,Sinocyclocheilus_rhinocerous
357,147,0,1.5,Sinocyclocheilus_anshuiensis
356,148,0,2.500005,Sinocyclocheilus_grahami
325,149,0,34.66764337674931,Danio_rerio
324,150,0,36.154890037984316,Merops_nubicus
323,151,0,37.88043370134263,Colius_striatus
322,152,0,40.12797817987033,Buceros_rhinoceros
364,153,0,5,Anser_cygnoides
364,154,0,5,Anas_platyrhynchos
366,155,0,8.9998,Meleagris_gallopavo
366,156,0,8.9998,Gallus_gallus
365,157,0,9.4999,Coturnix_japonica
368,158,0,6.5,Apteryx_australis
368,159,0,6.5,Struthio_camelus
367,160,0,8,Tinamus_guttatus
369,161,0,6,Opisthocomus_hoazin
369,162,0,6,Egretta_garzetta
377,163,0,2.5,Aquila_chrysaetos
377,164,0,2.5,Haliaeetus_leucocephalus
376,165,0,7,Calidris_pugnax
378,166,0,2,Falco_cherrug
378,167,0,2,Falco_peregrinus
379,168,0,5.5,Cuculus_canorus
379,169,0,5.5,Nipponia_nippon
380,170,0,9,Picoides_pubescens
380,171,0,9,Columba_livia
381,172,0,6.5,Chaetura_pelagica
381,173,0,6.5,Calypte_anna
371,174,0,17.205028203155337,Charadrius_vociferus
382,175,0,3.5,Aptenodytes_forsteri
382,176,0,3.5,Pygoscelis_adeliae
388,177,0,4.5,Parus_major
388,178,0,4.5,Sturnus_vulgaris
390,179,0,5.5,Zonotrichia_albicollis
390,180,0,5.5,Geospiza_fortis
393,181,0,7.50015,Serinus_canaria
393,182,0,7.50015,Taeniopygia_guttata
392,183,0,8.000074999999999,Pseudopodoces_humilis
391,184,0,8.3750375,Ficedula_albicollis
394,185,0,5.5,Corvus_cornix
394,186,0,5.5,Corvus_brachyrhynchos
395,187,0,12.999899999999998,Manacus_vitellinus
395,188,0,12.999899999999998,Lepidothrix_coronata
384,189,0,16.746804229517686,Acanthisitta_chloris
396,190,0,6,Nestor_notabilis
396,191,0,6,Melopsittacus_undulatus
358,192,0,24.46324187600708,Mesitornis_unicolor
318,193,0,45.28057773800279,Apaloderma_vittatum
402,194,0,5,Haliaeetus_albicilla
402,195,0,5,Fulmarus_glacialis
401,196,0,5.250005,Phaethon_lepturus
400,197,0,5.3750225,Cariama_cristata
405,198,0,5.5,Gavia_stellata
405,199,0,5.5,Tyto_alba
404,200,0,5.75002,Phalacrocorax_carbo
406,201,0,5,Balearica_regulorum
406,202,0,5,Pelecanus_crispus
398,203,0,11.682547112778497,Leptosomus_discolor
397,204,0,13.387006968911287,Chlamydotis_macqueenii
407,205,48.57129801398008,1.4533993906581415,NA
407,206,46.136105989277624,3.888591415360601,NA
206,207,43.94665482246074,2.1894511668168875,NA
207,208,41.28206271282763,2.664592109633105,NA
208,209,39.70776019841831,1.5743025144093181,NA
209,210,37.68332259362857,2.024437604789746,NA
210,211,34.369770187257124,3.3135524063714428,NA
211,212,32.06194037451424,2.307829812742881,NA
212,213,29.753063790812092,2.308876583702151,NA
213,214,27.908704377021355,1.8443594137907375,NA
214,215,25.67540915844858,2.233295218572774,NA
215,216,23.38886550364161,2.2865436548069695,NA
216,217,21.407321560852616,1.9815439427889956,NA
217,218,19.296794616523204,2.1105269443294112,NA
218,219,17.062881393960126,2.2339132225630784,NA
219,220,14.684269156393299,2.378612237566827,NA
220,221,12.17270627787635,2.5115628785169495,NA
221,222,9.00025,3.17245627787635,NA
214,223,8.25,19.658704377021355,NA
223,224,5,3.25,NA
223,225,6.25,2,NA
225,226,5.5,0.75,NA
212,227,31.304726958216403,0.7572134162978408,NA
227,228,29.56743060738699,1.7372963508294141,NA
228,229,27.150098610053885,2.417331997333104,NA
229,230,24.37400747227858,2.7760911377753033,NA
230,231,22.309687844563555,2.064319627715026,NA
231,232,20.580778252814614,1.7289095917489412,NA
232,233,18.562531632335038,2.0182466204795766,NA
233,234,16.7863184312527,1.7762132010823386,NA
234,235,14.58588375,2.2004346812526983,NA
235,236,10.765617500000001,3.8202662499999995,NA
236,237,8.968755000000002,1.7968624999999996,NA
237,238,8.625,0.3437550000000016,NA
238,239,3.5,5.125,NA
239,240,2.5,1,NA
240,241,2,0.5,NA
237,242,3,5.968755000000002,NA
236,243,10.49995,0.26566750000000106,NA
232,244,14.884784472732871,5.695993780081743,NA
244,245,13.129689056183615,1.7550954165492563,NA
245,246,11.255676343205227,1.874012712978388,NA
246,247,9.6252,1.6304763432052276,NA
247,248,5.25,4.3751999999999995,NA
248,249,4,1.25,NA
246,250,2.5,8.755676343205227,NA
250,251,2.25002,0.24997999999999987,NA
251,252,1.5,0.7500200000000001,NA
245,253,6.0780899999999995,7.0515990561836155,NA
253,254,4,2.0780899999999995,NA
253,255,5.24998,0.8281099999999997,NA
255,256,4.62498,0.625,NA
256,257,4.5625,0.06247999999999987,NA
257,258,3.5,1.0625,NA
257,259,3,1.5625,NA
259,260,2.5,0.5,NA
244,261,4.250005,10.634779472732871,NA
261,262,3,1.2500049999999998,NA
231,263,10.875,11.434687844563555,NA
263,264,9.125,1.75,NA
264,265,7.5,1.625,NA
264,266,7,2.125,NA
266,267,6,1,NA
230,268,12.092042401877936,12.281965070400645,NA
268,269,10.55938480375587,1.532657598122066,NA
269,270,8.523967556786715,2.035417246969155,NA
270,271,4,4.523967556786715,NA
270,272,6.512272132292975,2.01169542449374,NA
272,273,3,3.512272132292975,NA
229,274,9.4999,17.650198610053884,NA
228,275,20.06356054565692,9.503870061730069,NA
275,276,18.419996342086243,1.6435642035706763,NA
276,277,16.78448364146402,1.6355127006222219,NA
277,278,15.638167282928045,1.1463163585359766,NA
278,279,13.601672791805218,2.036494491122827,NA
279,280,6.096239284947049,7.505433506858169,NA
280,281,4,2.096239284947049,NA
279,282,11.57762848542339,2.0240443063818283,NA
282,283,9.823571740013822,1.7540567454095672,NA
283,284,7.870526757192796,1.9530449828210257,NA
284,285,5.7691140444649145,2.101412712727882,NA
285,286,2.50001,3.2691040444649144,NA
286,287,2.5,1.0000000000065512e-5,NA
285,288,3.854640126877986,1.9144739175869283,NA
288,289,2.375025,1.4796151268779862,NA
289,290,2.25,0.12502499999999994,NA
290,291,1.5,0.75,NA
282,292,8.075729298512565,3.5018991869108245,NA
292,293,6.328609842403859,1.747119456108706,NA
293,294,4.375005,1.953604842403859,NA
294,295,4,0.3750049999999998,NA
295,296,4,0,NA
276,297,6.934680434599091,11.485315907487152,NA
297,298,5,1.9346804345990911,NA
